public_id,status,group,resource_type,format,r2_key,key_bytes,bytes,collided,note
"About_us_2_cd9rr8","proposed","site","image","jpg","1.keaa-assets/keaa-site/about_us_2_cd9rr8.jpg","45","579574","false","general site imagery"
"Ajay_RAna_Keaa_tn10ww","proposed","team","image","png","1.keaa-assets/keaa-team/ajay_rana_keaa_tn10ww.png","49","1373184","false","leadership portrait, used by data/company.js"
"All_categories_r2ttvy","proposed","site","image","png","1.keaa-assets/keaa-site/all_categories_r2ttvy.png","49","2726903","false","general site imagery"
"Amarjot_keaa_m3uucm","proposed","team","image","png","1.keaa-assets/keaa-team/amarjot_keaa_m3uucm.png","47","1807886","false","leadership portrait, used by data/company.js"
"Automatic_Powder_Coating_Plant_guv3pr","proposed","manufacturing","image","png","1.keaa-assets/keaa-manufacturing/automatic_powder_coating_plant_guv3pr.png","74","2608296","false","plant photo, used by Manufacturing.jsx and ManufacturingBand.jsx"
"Bhupesh_Gautam_sh5j0f","proposed","team","image","png","1.keaa-assets/keaa-team/bhupesh_gautam_sh5j0f.png","49","1710074","false","leadership portrait, used by data/company.js"
"BSCI_Compliant_epigki","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/bsci_compliant_epigki.png","57","972692","false","certification badge, used by data/certificationLogos.js"
"CE_Certified_heisan","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/ce_certified_heisan.png","55","914138","false","certification badge, used by data/certificationLogos.js"
"ChatGPT_Image_19_Sept_2026_16_13_24_r2nb0b","proposed","team","image","png","1.keaa-assets/keaa-team/chatgpt_image_19_sept_2026_16_13_24_r2nb0b.png","70","1750225","false","leadership portrait, used by data/company.js"
"ChatGPT_Image_22_Sept_2026_15_38_28_nta0bu","proposed","team","image","png","1.keaa-assets/keaa-team/chatgpt_image_22_sept_2026_15_38_28_nta0bu.png","70","1456201","false","leadership portrait, used by data/company.js"
"ChatGPT_Image_23_Sept_2026_10_48_14_x1gpjq","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/chatgpt_image_23_sept_2026_10_48_14_x1gpjq.png","78","1038314","false","certification badge, used by data/certificationLogos.js"
"ChatGPT_Image_23_Sept_2026_10_48_56_ec1d2o","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/chatgpt_image_23_sept_2026_10_48_56_ec1d2o.png","78","1032034","false","certification badge, used by data/certificationLogos.js"
"ChatGPT_Image_23_Sept_2026_10_59_42_p9trct","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/chatgpt_image_23_sept_2026_10_59_42_p9trct.png","78","905417","false","certification badge, used by data/certificationLogos.js"
"CNC_Press_Brake_tcsl3k","proposed","manufacturing","image","png","1.keaa-assets/keaa-manufacturing/cnc_press_brake_tcsl3k.png","59","2307782","false","plant photo, used by Manufacturing.jsx and ManufacturingBand.jsx"
"Ct-PAT_z5gdra","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/ct-pat_z5gdra.png","49","1228084","false","certification badge, used by data/certificationLogos.js"
"CTO_CTE_xtttnf","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/cto_cte_xtttnf.png","50","689204","false","certification badge, used by data/certificationLogos.js"
"DIN_EN_1090-1_fwxhqh","proposed","certificates","image","png","1.keaa-assets/keaa-certificates/din_en_1090-1_fwxhqh.png","56","882684","false","certification badge, used by data/certificationLogos.js"
"DJI_0082_p2qmld","proposed","gallery","image","jpg","1.keaa-assets/keaa-gallery/dji_0082_p2qmld.jpg","46","1141705","false","used by data/gallery.js and data/heroSlides.js"
"DJI_0083_1_w7zuxk","proposed","gallery","image","jpg","1.keaa-assets/keaa-gallery/dji_0083_1_w7zuxk.jpg","48","1652392","false","used by data/gallery.js and data/heroSlides.js"
"DJI_0117_jnjfzw","proposed","gallery","image","jpg","1.keaa-assets/keaa-gallery/dji_0117_jnjfzw.jpg","46","1319511","false","used by data/gallery.js and data/heroSlides.js"
