public_id,status,group,resource_type,format,r2_key,key_bytes,bytes,collided,note
"1.Keaa Assets/Keaa Resumes/file_klapaj","approved","resumes","raw","pdf","1.keaa-assets/keaa-resumes/file_klapaj.pdf","42","8791","false",""
"9137-9_Certificate-of-Conformity_RA_SW-coupler_2026-07-31_zykes2","approved","certificate-pdfs","image","pdf","1.keaa-assets/keaa-certificates/9137-9_certificate-of-conformity_ra_sw-coupler_2026-07-31_zykes2.pdf","100","206750","false",""
"B30_Prop_Sigma_Certificate_uwivrj","approved","certificate-pdfs","image","pdf","1.keaa-assets/keaa-certificates/b30_prop_sigma_certificate_uwivrj.pdf","69","680509","false",""
"Comp_2_vo8r0b","approved","hero-videos","video","mp4","1.keaa-assets/1.keaa-hero-page-videos/comp_2_vo8r0b.mp4","55","97178","false",""
"hero-keaa-cinematic_takmbk","approved","hero-videos","video","mp4","1.keaa-assets/1.keaa-hero-page-videos/hero-keaa-cinematic_takmbk.mp4","68","44279926","false",""
"hero1_a0hnen","approved","hero-videos","video","mp4","1.keaa-assets/1.keaa-hero-page-videos/hero1_a0hnen.mp4","54","0","false",""
"Iron_Brace_final_ircyy9","approved","hero-videos","video","mp4","1.keaa-assets/1.keaa-hero-page-videos/iron_brace_final_ircyy9.mp4","65","9789504","false",""
"keaa-products/5-bar-field-gates-100-0","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-field-gates-100-0.jpg","55","18474","false",""
"keaa-products/5-bar-field-gates-100-1","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-field-gates-100-1.jpg","55","29610","false",""
"keaa-products/5-bar-full-mesh-306-0","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-full-mesh-306-0.jpg","53","29364","false",""
"keaa-products/5-bar-full-mesh-306-1","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-full-mesh-306-1.jpg","53","17279","false",""
"keaa-products/5-bar-half-mesh-field-gates-305-0","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-half-mesh-field-gates-305-0.jpg","65","21226","false",""
"keaa-products/5-bar-half-mesh-field-gates-305-1","approved","products","image","jpg","1.keaa-assets/keaa-products/5-bar-half-mesh-field-gates-305-1.jpg","65","29248","false",""
